商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
脆皮鸡腿,single,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
脆皮鸡腿,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
脆皮鸡腿,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
脆皮鸡腿,single,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
脆皮鸡腿,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡腿,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡腿排饭(旧价格),combo,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
脆皮鸡腿排饭(旧价格),combo,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡腿排饭(旧价格),combo,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡腿排饭(旧价格),combo,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡腿排饭(旧价格),combo,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡腿排饭(旧价格),combo,玉米粒,MK01003,20.0,g,0.0716625,1.4332500000000001,通用,0.0716625,0.07,0.0,g,0.06825
脆皮鸡腿排饭(旧价格),combo,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
脆皮鸡腿排饭(旧价格),combo,生菜,VE00004,20.0,g,0.08715,1.743,通用,0.08715,0.08,0.0,g,0.083
脆皮鸡腿排饭(旧价格),combo,酱料盒（外卖）,PA01005,1.0,pc,0.325815,0.325815,外卖,0.325815,0.29,7.0,pc,0.29
脆皮鸡腿排饭(旧价格),combo,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,通用,3.66261,3.26,7.0,pc,3.26
脆皮鸡腿排饭(旧价格),combo,Jauaa酱,MK01016,30.0,g,0.1052413087845,3.1572392635349997,通用,0.1052413087845,0.09,7.0,g,0.093672727
