商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
立顿红茶,single,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
第二个汉堡只需40泰铢,single,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
第二个汉堡只需40泰铢,single,五合一汉堡纸,PA99017,2.0,pc,0.24717,0.49434,通用,0.24717,0.22,7.0,pc,0.22
第二个汉堡只需40泰铢,single,炸鸡炸粉,DR02002,60.0,g,0.0183504996255,1.1010299775299999,通用,0.0183504996255,0.02,7.0,g,0.016333333
第二个汉堡只需40泰铢,single,无骨方腿腿肉汉堡用,FR01001,2.0,pc,18.9,37.8,通用,18.9,18.0,0.0,pc,18.0
第二个汉堡只需40泰铢,single,汉堡面包,DR01001,2.0,pc,5.246745000000001,10.493490000000001,通用,5.246745000000001,4.67,7.0,pc,4.67
第二个汉堡只需40泰铢,single,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
第二个汉堡只需40泰铢,single,沙拉酱,SA02001,30.0,g,0.06741,2.0223,通用,0.06741,0.06,7.0,g,0.06
第二个汉堡只需40泰铢,single,生菜,VE00004,30.0,g,0.08715,2.6145,通用,0.08715,0.08,0.0,g,0.083
第二个汉堡只需40泰铢,single,餐巾纸,GE99003,2.0,pc,0.0894914566245,0.178982913249,通用,0.0894914566245,0.08,7.0,pc,0.079654167
米 15฿,single,米饭打包碗（圆形）,PA01001,1.0,pc,1.47000987,1.47000987,外卖,1.47000987,1.31,7.0,pc,1.30842
米 15฿,single,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,堂食,3.66261,3.26,7.0,pc,3.26
米 15฿,single,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
米饭,single,米饭打包碗（圆形）,PA01001,1.0,pc,1.47000987,1.47000987,外卖,1.47000987,1.31,7.0,pc,1.30842
米饭,single,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,堂食,3.66261,3.26,7.0,pc,3.26
米饭,single,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
紫薯爆米花（มันม่วง）,single,芋头红薯汤圆,DE01008,5.0,pc,2.13465,10.673250000000001,通用,2.13465,1.9,7.0,pc,1.9
紫薯爆米花（มันม่วง）,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
紫薯爆米花（มันม่วง）,single,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
紫薯爆米花（มันม่วง）,single,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
紫薯爆米花（มันม่วง）,single,甜辣酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
紫薯脆片,single,芋头红薯汤圆,DE01008,5.0,pc,2.13465,10.673250000000001,通用,2.13465,1.9,7.0,pc,1.9
紫薯脆片,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
紫薯脆片,single,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
紫薯脆片,single,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
紫薯脆片,single,甜辣酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
纯大腿套装,single,辣味粉,SE05002,10.0,,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
纯大腿套装,single,起酥油,DR02001,10.0,,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
纯大腿套装,single,手套,PA99023,1.0,,0.07864500000000002,0.07864500000000002,外卖,0.07864500000000002,0.07,7.0,pc,0.07
纯大腿套装,single,65oz 桶(含盖),PA99004,1.0,,3.134565,3.134565,通用,3.134565,2.79,7.0,pc,2.79
纯大腿套装,single,鸡腿,FR01003,6.0,,6.90000045,41.4000027,通用,6.90000045,6.57,0.0,pc,6.571429
纯大腿套装,single,炸鸡炸粉,DR02002,10.0,,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
纯大腿套装,single,番茄酱（小包）,SA01013,1.0,,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
纯大腿套装,single,辣椒酱（小包）,SA01010,1.0,,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
纯小腿套装 199,single,辣味粉,SE05002,10.0,,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
纯小腿套装 199,single,起酥油,DR02001,10.0,,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
纯小腿套装 199,single,手套,PA99023,1.0,,0.07864500000000002,0.07864500000000002,外卖,0.07864500000000002,0.07,7.0,pc,0.07
纯小腿套装 199,single,65oz 桶(含盖),PA99004,1.0,,3.134565,3.134565,通用,3.134565,2.79,7.0,pc,2.79
纯小腿套装 199,single,鸡腿,FR01003,6.0,,6.90000045,41.4000027,通用,6.90000045,6.57,0.0,pc,6.571429
纯小腿套装 199,single,炸鸡炸粉,DR02002,10.0,,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
纯小腿套装 199,single,番茄酱（小包）,SA01013,1.0,,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
纯小腿套装 199,single,辣椒酱（小包）,SA01010,1.0,,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
纯鸡腿桶 199,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
纯鸡腿桶 199,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
纯鸡腿桶 199,single,65oz 桶(含盖),PA99004,1.0,pc,3.134565,3.134565,通用,3.134565,2.79,7.0,pc,2.79
纯鸡腿桶 199,single,鸡腿,FR01003,6.0,pc,6.90000045,41.4000027,通用,6.90000045,6.57,0.0,pc,6.571429
纯鸡腿桶 199,single,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
纯鸡腿桶 199,single,甜辣酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
纯鸡腿桶 199,single,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
经典炸鸡 1 件,single,十块鸡,FR05001,1.0,pc,8.61,8.61,通用,8.61,8.2,0.0,pc,8.2
经典炸鸡 1 件,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
经典炸鸡 1 件,single,炸鸡炸粉,DR02002,20.0,g,0.0183504996255,0.36700999251,通用,0.0183504996255,0.02,7.0,g,0.016333333
经典炸鸡 1 件,single,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
经典炸鸡 1 件,single,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
经典炸鸡 1 件,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
经典炸鸡 1 件,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
经典炸鸡 1 件,single,小船盒,PA99035,1.0,pc,1.808835,1.808835,通用,1.808835,1.61,7.0,pc,1.61
经典炸鸡 1 件,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
经典炸鸡 1 件,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
经典炸鸡 5 块,single,十块鸡,FR05001,5.0,pc,8.61,43.05,通用,8.61,8.2,0.0,pc,8.2
经典炸鸡 5 块,single,J起酥油,DR02001,50.0,g,0.04954635,2.4773175000000003,通用,0.04954635,0.04,7.0,g,0.0441
经典炸鸡 5 块,single,炸鸡炸粉,DR02002,100.0,g,0.0183504996255,1.8350499625499999,通用,0.0183504996255,0.02,7.0,g,0.016333333
经典炸鸡 5 块,single,腌泡粉,SE01001,30.0,g,0.101115,3.0334499999999998,通用,0.101115,0.09,7.0,g,0.09
经典炸鸡 5 块,single,小纸袋,PA99013,5.0,pc,0.280875,1.404375,通用,0.280875,0.25,7.0,pc,0.25
经典炸鸡 5 块,single,番茄酱（小包）,SA01013,5.0,pc,0.42693,2.1346499999999997,外卖,0.42693,0.38,7.0,pc,0.38
经典炸鸡 5 块,single,辣椒酱（小包）,SA01010,5.0,pc,0.47187,2.35935,外卖,0.47187,0.42,7.0,pc,0.42
经典炸鸡 5 块,single,小船盒,PA99035,5.0,pc,1.808835,9.044175,通用,1.808835,1.61,7.0,pc,1.61
经典炸鸡 5 块,single,番茄酱（大包）,SA01009,25.0,g,0.02595285,0.64882125,堂食,0.02595285,0.02,7.0,g,0.0231
经典炸鸡 5 块,single,甜辣酱（大包）,SA01001,25.0,g,0.033705,0.842625,堂食,0.033705,0.03,7.0,g,0.03
经典脆皮炸鸡 2 块,single,十块鸡,FR05001,2.0,pc,8.61,17.22,通用,8.61,8.2,0.0,pc,8.2
经典脆皮炸鸡 2 块,single,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
经典脆皮炸鸡 2 块,single,炸鸡炸粉,DR02002,40.0,g,0.0183504996255,0.73401998502,通用,0.0183504996255,0.02,7.0,g,0.016333333
经典脆皮炸鸡 2 块,single,腌泡粉,SE01001,12.0,g,0.101115,1.21338,通用,0.101115,0.09,7.0,g,0.09
经典脆皮炸鸡 2 块,single,小纸袋,PA99013,2.0,pc,0.280875,0.56175,通用,0.280875,0.25,7.0,pc,0.25
经典脆皮炸鸡 2 块,single,番茄酱（小包）,SA01013,2.0,pc,0.42693,0.85386,外卖,0.42693,0.38,7.0,pc,0.38
经典脆皮炸鸡 2 块,single,辣椒酱（小包）,SA01010,2.0,pc,0.47187,0.94374,外卖,0.47187,0.42,7.0,pc,0.42
经典脆皮炸鸡 2 块,single,小船盒,PA99035,2.0,pc,1.808835,3.61767,通用,1.808835,1.61,7.0,pc,1.61
经典脆皮炸鸡 2 块,single,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
经典脆皮炸鸡 2 块,single,甜辣酱（大包）,SA01001,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
绿茶冰淇淋,single,抹茶冰激凌粉,DE01006,14.0,g,0.213465,2.9885099999999998,通用,0.213465,0.19,7.0,g,0.19
绿茶冰淇淋,single,威化筒,DE01001,1.0,pc,2.13465,2.13465,通用,2.13465,1.9,7.0,pc,1.9
绿茶冰淇淋,single,冰淇淋紙套,SP01001,1.0,pc,0.78645,0.78645,通用,0.78645,0.7,7.0,pc,0.7
美式,single,咖啡豆（小）,BE05001,15.0,g,0.15729,2.35935,通用,0.15729,0.14,7.0,g,0.14
美式,single,咖啡杯盖,PA03002,1.0,pc,0.5168100000000001,0.5168100000000001,通用,0.5168100000000001,0.46,7.0,pc,0.46
美式,single,咖啡杯,PA03001,1.0,pc,1.404375,1.404375,通用,1.404375,1.25,7.0,pc,1.25
美式,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮全鸡,single,整鸡,CK01001,1.0,pc,63.0,63.0,通用,63.0,60.0,0.0,pc,60.0
脆皮全鸡,single,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
脆皮全鸡,single,炸鸡炸粉,DR02002,50.0,g,0.0183504996255,0.9175249812749999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮全鸡,single,腌泡粉,SE01001,20.0,g,0.101115,2.0223,通用,0.101115,0.09,7.0,g,0.09
脆皮全鸡,single,五合一汉堡纸,PA99017,1.0,pc,0.24717,0.24717,通用,0.24717,0.22,7.0,pc,0.22
脆皮全鸡,single,全鸡袋,PA99008,1.0,pc,0.6066900000000001,0.6066900000000001,通用,0.6066900000000001,0.54,7.0,pc,0.54
脆皮全鸡,single,番茄酱（小包）,SA01013,3.0,pc,0.42693,1.2807899999999999,外卖,0.42693,0.38,7.0,pc,0.38
脆皮全鸡,single,辣椒酱（小包）,SA01010,3.0,pc,0.47187,1.41561,外卖,0.47187,0.42,7.0,pc,0.42
脆皮全鸡,single,番茄酱（大包）,SA01009,20.0,g,0.02595285,0.519057,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮全鸡,single,甜辣酱（大包）,SA01001,20.0,g,0.033705,0.6740999999999999,堂食,0.033705,0.03,7.0,g,0.03
脆皮全鸡+2杯可乐,combo,16A 冷杯,PA99001,2.0,pc,0.7190400000000001,1.4380800000000002,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮全鸡+2杯可乐,combo,百事可乐原味,BE01004,50.0,g,0.24717,12.3585,通用,0.24717,0.22,7.0,g,0.22
脆皮全鸡+2杯可乐,combo,PLA尖头吸管,PA99024,2.0,pc,0.213465,0.42693,通用,0.213465,0.19,7.0,pc,0.19
脆皮全鸡+2杯可乐,combo,五合一汉堡纸,PA99017,1.0,pc,0.24717,0.24717,通用,0.24717,0.22,7.0,pc,0.22
脆皮全鸡+2杯可乐,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮全鸡+2杯可乐,combo,腌泡粉,SE01001,15.0,g,0.101115,1.5167249999999999,通用,0.101115,0.09,7.0,g,0.09
脆皮全鸡+2杯可乐,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮全鸡+2杯可乐,combo,辣椒酱（大包）,SA01008,30.0,g,0.02247,0.6741,堂食,0.02247,0.02,7.0,g,0.02
脆皮全鸡+2杯可乐,combo,番茄酱（大包）,SA01009,30.0,g,0.02595285,0.7785854999999999,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮全鸡+2杯可乐,combo,整鸡,CK01001,1.0,pc,63.0,63.0,通用,63.0,60.0,0.0,pc,60.0
脆皮手枪腿,single,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮手枪腿,single,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮手枪腿,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮手枪腿,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮手枪腿,single,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
脆皮手枪腿,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
脆皮手枪腿,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
脆皮手枪腿,single,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
脆皮手枪腿,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮手枪腿,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
脆皮手枪腿饭,single,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮手枪腿饭,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮手枪腿饭,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮手枪腿饭,single,BBQ酱,SE05001,10.0,g,0.101115,1.01115,通用,0.101115,0.09,7.0,g,0.09
脆皮手枪腿饭,single,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
脆皮手枪腿饭,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
脆皮手枪腿饭,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
脆皮手枪腿饭,single,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
脆皮手枪腿饭,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮手枪腿饭,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
脆皮整鸡（原价）,single,整鸡,CK01001,1.0,pc,63.0,63.0,通用,63.0,60.0,0.0,pc,60.0
脆皮整鸡（原价）,single,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
脆皮整鸡（原价）,single,炸鸡炸粉,DR02002,50.0,g,0.0183504996255,0.9175249812749999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮整鸡（原价）,single,腌泡粉,SE01001,20.0,g,0.101115,2.0223,通用,0.101115,0.09,7.0,g,0.09
脆皮整鸡（原价）,single,五合一汉堡纸,PA99017,2.0,pc,0.24717,0.49434,通用,0.24717,0.22,7.0,pc,0.22
脆皮整鸡（原价）,single,番茄酱（大包）,SA01009,20.0,g,0.02595285,0.519057,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮整鸡（原价）,single,甜辣酱（大包）,SA01001,20.0,g,0.033705,0.6740999999999999,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,起酥油,DR02001,30.0,g,0.04954635,1.4863905000000002,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,十块鸡,FR05001,1.0,pc,8.61,8.61,通用,8.61,8.2,0.0,pc,8.2
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,辣椒酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
脆皮鸡套餐 1 - 香辣脆皮鸡,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡套餐1 - 经典脆皮鸡,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡套餐1 - 经典脆皮鸡,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡套餐1 - 经典脆皮鸡,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
脆皮鸡套餐1 - 经典脆皮鸡,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮鸡套餐1 - 经典脆皮鸡,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
脆皮鸡套餐1 - 经典脆皮鸡,combo,十块鸡,FR05001,2.0,pc,8.61,17.22,通用,8.61,8.2,0.0,pc,8.2
脆皮鸡套餐1 - 经典脆皮鸡,combo,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡套餐1 - 经典脆皮鸡,combo,炸鸡炸粉,DR02002,40.0,g,0.0183504996255,0.73401998502,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡套餐1 - 经典脆皮鸡,combo,腌泡粉,SE01001,12.0,g,0.101115,1.21338,通用,0.101115,0.09,7.0,g,0.09
脆皮鸡套餐1 - 经典脆皮鸡,combo,小纸袋,PA99013,2.0,pc,0.280875,0.56175,通用,0.280875,0.25,7.0,pc,0.25
脆皮鸡套餐1 - 经典脆皮鸡,combo,番茄酱（小包）,SA01013,2.0,pc,0.42693,0.85386,外卖,0.42693,0.38,7.0,pc,0.38
脆皮鸡套餐1 - 经典脆皮鸡,combo,辣椒酱（小包）,SA01010,2.0,pc,0.47187,0.94374,外卖,0.47187,0.42,7.0,pc,0.42
脆皮鸡套餐1 - 经典脆皮鸡,combo,小船盒,PA99035,2.0,pc,1.808835,3.61767,通用,1.808835,1.61,7.0,pc,1.61
脆皮鸡套餐1 - 经典脆皮鸡,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡套餐1 - 经典脆皮鸡,combo,甜辣酱（大包）,SA01001,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡套餐2 - 香辣脆皮鸡,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
